model,seed,validauc,validacc,testauc,testacc,window_testauc,window_testacc,best_epoch
akt,42,0.7326935589052949,0.7592969274640142,0.7268042176401887,0.751419103661436,0.7268682713615902,0.7514260249554368,16
akt,2024,0.7322675326820661,0.7580998355215136,0.7267676851652152,0.7515974203518783,0.726894800606916,0.7516636957813428,14
akt,3407,0.7324732457234263,0.7570000681271837,0.7265452664382308,0.7514785425582501,0.7266308113832052,0.7514408793820558,13
akt_ours,42,0.7322712498965093,0.7581095679763307,0.7264312565970203,0.7522066690442225,0.7265318207979671,0.7522058823529412,9
akt_ours,2024,0.7323953118054007,0.7589757564550507,0.7264594105767985,0.7519243342843557,0.7265837932387176,0.7519682115270351,11
akt_ours,3407,0.7326229035059553,0.7581776951600502,0.7266259822207486,0.7520357822158821,0.7266932136838178,0.7519979203802734,10
